,매장명,주소,전화번호,위도,경도
40,청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",1522-3232,37.5243631,127.05155990000003
41,삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),1522-3232,37.5097863,127.05791339999996
42,삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",1522-3232,37.507794,127.06517
43,학동역,서울특별시 강남구 논현로 704 (논현동),1522-3232,37.51464884,127.0307302
44,대치,서울특별시 강남구 도곡로 511 (대치동),1522-3232,37.49966175,127.0622171
45,SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",1522-3232,37.490298,127.054895
46,삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",1522-3232,37.50703529,127.0555503
47,선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,1522-3232,37.50377562,127.051196
48,압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",1522-3232,37.52674095,127.0281105
49,압구정로,서울특별시 강남구 압구정로42길 32 (신사동),1522-3232,37.52680046,127.0347174
50,구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),1522-3232,37.49592355,127.0388645
51,큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",1522-3232,37.50236693,127.0407
52,강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",1522-3232,37.5165849,127.04124330000002
53,대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호,1522-3232,37.493554,127.061874
54,포이,서울특별시 강남구 논현로 88 (개포동),1522-3232,37.47781106,127.0451411
55,아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),1522-3232,37.49971982,127.0349084
56,학여울역,서울특별시 강남구 영동대로 215 (대치동),1522-3232,37.49803646,127.0684943
57,선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,1522-3232,37.51075489999999,127.04455970000003
58,삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),1522-3232,37.51354184,127.0527183
59,GS타워,서울특별시 강남구 논현로 508 (역삼동),1522-3232,37.5018592,127.03727759999992
60,압구정미소,서울특별시 강남구 논현로 841 (신사동),1522-3232,37.52405601,127.027915
61,선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",1522-3232,37.50393894,127.0485135
62,코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),1522-3232,37.515351,127.060109
63,역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),1522-3232,37.492209,127.039389
64,차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",1522-3232,37.508032,127.035373
65,청담공원,서울특별시 강남구 학동로 506 (삼성동),1522-3232,37.5186549,127.05143870000006
66,신압구정,서울특별시 강남구 언주로174길 29 (신사동),1522-3232,37.528115,127.036441
67,아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",1522-3232,37.50898041,127.0403869
68,뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동),1522-3232,37.488585,127.032415
69,강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",1522-3232,37.4964557,127.02968850000002
70,역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",1522-3232,37.50080096,127.0351577
71,압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",1522-3232,37.526549,127.040437
72,르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),1522-3232,37.502721,127.044308
73,포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",1522-3232,37.50576,127.057966
74,선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",1522-3232,37.505053,127.046577
75,논현힐탑,서울특별시 강남구 논현로 648 (논현동),1522-3232,37.5115577,127.03226199999994
76,도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",1522-3232,37.51736229999999,127.02329570000006
77,대치한티,서울특별시 강남구 선릉로 324 (대치동),1522-3232,37.4984818,127.0520660
78,수서역사거리,서울특별시 강남구 광평로 280 (수서동),1522-3232,37.4873267937748,127.103140081887
79,코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),1522-3232,37.513019,127.059838
80,센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),1522-3232,37.50369465391196,127.04172081609172
81,도산사거리,서울특별시 강남구 언주로 727 (논현동),1522-3232,37.51966,127.0341
82,강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),1522-3232,37.467274319644,127.099929726
83,대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동),1522-3232,37.500313,127.066961
84,테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),1522-3232,37.50383,127.04487
85,삼성동,서울특별시 강남구 영동대로96길 12 (삼성동),1522-3232,37.510843366121534,127.06363342044263
86,역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),1522-3232,37.499367,127.048425
87,미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),1522-3232,37.618319,127.021072
88,강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),1522-3232,37.6400354,127.0273766
89,미아사거리역,서울특별시 강북구 도봉로 32 (미아동),1522-3232,37.611809,127.0306971
90,수유역,서울특별시 강북구 도봉로 342 (번동),1522-3232,37.6380167,127.02613500000007
91,미아역,서울특별시 강북구 도봉로 196 (미아동),1522-3232,37.626148,127.026578
92,파라스파라서울,서울특별시 강북구 삼양로 689 (우이동)[*미고시],1522-3232,37.664380074618,127.008566467101
93,발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),1522-3232,37.558509,126.835096
94,마곡역,서울특별시 강서구 공항대로 168 (마곡동),1522-3232,37.559611,126.826298
95,우장산역,서울특별시 강서구 강서로 267 (내발산동),1522-3232,37.549501,126.835984
96,마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),1522-3232,37.5605261,126.833887
97,방화DT,서울특별시 강서구 방화대로 375 (방화동),1522-3232,37.574339,126.816415
98,마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),1522-3232,37.56813,126.82614
99,마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",1522-3232,37.560487,126.829667
100,가양역,서울특별시 강서구 양천로 476 (등촌동),1522-3232,37.561640,126.853327
101,화곡DT,서울특별시 강서구 등촌로 57 (화곡동),1522-3232,37.535149,126.863232
102,양천향교역,서울특별시 강서구 강서로 463 (마곡동),1522-3232,37.566964,126.840731
103,화곡동,서울특별시 강서구 화곡로 142(화곡동),1522-3232,37.5405115,126.8372413
104,등촌,서울특별시 강서구 공항대로 329 (등촌동),1522-3232,37.5582043,126.84433919999992
105,염창역,서울특별시 강서구 공항대로 627 (염창동),1522-3232,37.547359,126.874436
106,발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,1522-3232,37.56033,126.839279
107,가양이마트,서울특별시 강서구 양천로 559 (가양동) 1층,1522-3232,37.5578966,126.86229779999996
108,까치산역,서울특별시 강서구 강서로13길 3 (화곡동),1522-3232,37.532303,126.846077
109,등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어), 104-2/105/106호",1522-3232,37.55101,126.86638
110,가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",1522-3232,37.56007,126.855372
111,강서NC,서울특별시 강서구 강서로56길 17 (등촌동),1522-3232,37.560088,126.840534
112,마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동),1522-3232,37.567007,126.822246
113,강서구청사거리,"서울특별시 강서구 화곡로 350 (화곡동), 104/105/106/107호",1522-3232,37.5549266,126.8523133
114,낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),1522-3232,37.477946,126.961193
115,관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),1522-3232,37.479343,126.952780
116,신림DT,서울특별시 관악구 남부순환로 1419 (신림동),1522-3232,37.480935,126.908407
117,서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),1522-3232,37.481599,126.952200
118,낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),1522-3232,37.476169,126.965005
119,사당,서울특별시 관악구 남부순환로 2082-25,1522-3232,37.47601,126.980997
120,보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,1522-3232,37.491449,126.925432
121,신림사거리,서울특별시 관악구 남부순환로 1619 (신림동),1522-3232,37.484768,126.930467
122,신림,서울특별시 관악구 신림로 355-1 (신림동),1522-3232,37.48609493,126.9291602
123,신림역포도몰,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)",1522-3232,37.48385383,126.9301799
124,서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),1522-3232,37.48118,126.951324
125,건국대,서울특별시 광진구 능동로 117 (화양동),1522-3232,37.5415592,127.0711244
126,어린이대공원역,서울특별시 광진구 능동로243 ,1522-3232,37.551946,127.076404
127,아차산역,서울특별시 광진구 천호대로 676 ,1522-3232,37.5505388,127.0898757
128,올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),1522-3232,37.541129,127.095240
129,구의DT,서울특별시 광진구 광나루로 519 (구의동),1522-3232,37.5451984,127.0871587
130,자양사거리,서울특별시 광진구 아차산로 355,1522-3232,37.5371158,127.0825821
131,군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,1522-3232,37.556965,127.079032
132,광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",1522-3232,37.547442,127.105934
133,건대스타시티,서울특별시 광진구 아차산로 262 (자양동),1522-3232,37.538544,127.073009
134,자양,서울특별시 광진구 능동로 50 (자양동),1522-3232,37.5354769,127.06914619999998
135,강변역,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,1522-3232,37.536155,127.093086
136,건대입구,서울특별시 광진구 능동로 107 (화양동),1522-3232,37.5406604,127.07072249999999
137,구의역,서울특별시 광진구 아차산로 373 (구의동),1522-3232,37.53698,127.084015
138,광장,서울특별시 광진구 아차산로 537-17 (광장동),1522-3232,37.542518,127.099651
139,건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,1522-3232,37.538466,127.071271
140,자양이마트,서울시 광진구 아차산로 272 스타시티 지하1층 일부,1522-3232,37.537817,127.072597
141,중곡,서울특별시 광진구 천호대로 549 (중곡동) 1층,1522-3232,37.5575666,127.0793340
142,금천구청역,"서울특별시 금천구 시흥대로73길 67 엠타워 112,113,114,115호",1522-3232,37.455983,126.895727
143,가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),1522-3232,37.48061318,126.8805702
144,독산사거리,서울특별시 금천구 시흥대로 426 (독산동),1522-3232,37.471528328745485,126.89856062315228
145,금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),1522-3232,37.448624,126.903183
146,가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),1522-3232,37.481324,126.883779
147,금천독산,서울특별시 금천구 두산로 70 (독산동),1522-3232,37.46914,126.895246
148,가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),1522-3232,37.4798346,126.88249969999992
149,W-Mall,서울특별시 금천구 디지털로 188 (가산동),1522-3232,37.47730499,126.8876908
150,마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,1522-3232,37.478701,126.885076
151,가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),1522-3232,37.477221,126.883683
152,가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",1522-3232,37.4794491,126.88747680000006
153,월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",1522-3232,37.6295,127.0574
154,월계트레이더스,서울특별시 노원구 마들로3길 15 ,1522-3232,37.6277053,127.06149779999998
155,상계초교사거리,서울특별시 노원구 노원로 449 ,1522-3232,37.656776,127.066442
156,공릉DT,서울특별시 노원구 동일로 1015 (공릉동),1522-3232,37.6206884,127.0743116
157,노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",1522-3232,37.660941,127.058008
158,공릉역,서울특별시 노원구 동일로 1081 (공릉동),1522-3232,37.626337,127.072252
159,은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",1522-3232,37.65048737,127.0759861
160,노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",1522-3232,37.654562,127.063617
161,광운대,서울특별시 노원구 석계로 104 (월계동),1522-3232,37.6231479,127.06070090000003
162,중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",1522-3232,37.64817,127.062244
163,노원역,서울특별시 노원구 동일로 1413 (상계동) 1층,1522-3232,37.654751,127.060034
164,월계이마트,서울특별시 노원구 마들로3길 15 (월계동),1522-3232,37.627155,127.062094
165,태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동),1522-3232,37.61942,127.07932
166,창동이마트,서울특별시 도봉구 노해로65길 4 (창동),1522-3232,37.651645,127.046869
167,쌍문역,서울특별시 도봉구 도봉로 480 (창동),1522-3232,37.648456,127.034783
168,쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동),1522-3232,37.6453516,127.0331011
169,노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",1522-3232,37.513068,126.946537
170,남성역,서울특별시 동작구 사당로 219 (사당동),1522-3232,37.4841198,126.9725739
171,상도역,서울특별시 동작구 상도로37길 1 (상도1동),1522-3232,37.5031936,126.9484581
172,보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",1522-3232,37.49226212712864,126.92334570798292
173,이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),1522-3232,37.484414,126.980047
174,노량진역,서울특별시 동작구 노량진로 134 (노량진동),1522-3232,37.513390,126.940879
175,신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),1522-3232,37.499914,126.931766
176,중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),1522-3232,37.506933,126.958125
177,숭실대입구역,서울특별시 동작구 상도로 354 (상도동),1522-3232,37.4968346,126.95271230000003
178,숭실대,서울특별시 동작구 사당로 4 (상도동),1522-3232,37.49538073,126.9548891
179,사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",1522-3232,37.47849216,126.9813456
180,서강대프라자,서울특별시 마포구 백범로 35 (신수동),1522-3232,37.551073,126.943096
181,상암YTN,서울특별시 마포구 상암산로 76 (상암동),1522-3232,37.579183,126.892315
182,마포용강동,서울특별시 마포구 토정로 295 (용강동),1522-3232,37.541186,126.942209
183,홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동),1522-3232,37.554636,126.92036
184,마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),1522-3232,37.550800,126.953432
185,공덕,서울특별시 마포구 마포대로 130 (공덕동),1522-3232,37.545913,126.952956
186,합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",1522-3232,37.5509,126.9134
187,홍대공항철도역,서울특별시 마포구 양화로 178 (동교동),1522-3232,37.557491,126.925146
188,마포염리,서울특별시 마포구 독막로 311 (염리동),1522-3232,37.543876,126.947680
189,서강광흥창역,서울특별시 마포구 서강로 69 (창전동),1522-3232,37.549377,126.931661
190,합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",1522-3232,37.549630,126.912999
191,서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),1522-3232,37.548178,126.941576
192,서교동사거리,서울특별시 마포구 양화로 105 (서교동),1522-3232,37.553376,126.918564
193,상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),1522-3232,37.581470,126.888983
194,신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),1522-3232,37.555137,126.934694
195,상암디지털큐브,서울특별시 마포구 상암산로 34,1522-3232,37.5763132,126.8892477
196,상수역,서울특별시 마포구 독막로 88 (상수동),1522-3232,37.5474817,126.92321579999998
197,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,1522-3232,37.5424641,126.95057730000008
198,서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,1522-3232,37.551385,126.9169208
199,서강대,서울특별시 마포구 백범로 23 (신수동),1522-3232,37.5524584,126.9378262
200,상암MBC,서울특별시 마포구 성암로 267 (상암동),1522-3232,37.581297,126.890908
201,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",1522-3232,37.557175,126.923654
202,동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",1522-3232,37.556928,126.919819
203,애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",1522-3232,37.55218737,126.9555203
204,상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",1522-3232,37.577623,126.890684
205,마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",1522-3232,37.54043451,126.9463168
206,마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,1522-3232,37.54145556,126.948819
207,홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),1522-3232,37.550266,126.923179
208,망원역,서울특별시 마포구 월드컵로 74 (서교동),1522-3232,37.555829,126.910637
209,마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,1522-3232,37.542421,126.953341
210,합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",1522-3232,37.551004,126.913848
211,홍대역8번출구,서울특별시 마포구 양화로 166 (동교동),1522-3232,37.556743503599,126.924166543608
212,가재울뉴타운,서울특별시 서대문구 가재울미래로 2 ,1522-3232,37.5749841,126.9164441
213,남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",1522-3232,37.577386,126.920815
214,신촌역,서울특별시 서대문구 신촌로 73 (창천동),1522-3232,37.556167,126.934673
215,연희동,서울특별시 서대문구 연희로 97 (연희동),1522-3232,37.566702,126.930475
216,아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)",1522-3232,37.558421,126.956349
217,홍제역,서울특별시 서대문구 통일로 451 (홍제동),1522-3232,37.588658,126.943864
218,연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,1522-3232,37.562644,126.937529
219,연희DT,서울특별시 서대문구 연희로 144 (연희동),1522-3232,37.5702143,126.9339777
220,경기대,서울특별시 서대문구 충정로 53 (충정로2가),1522-3232,37.56367995,126.9646045
221,신촌,서울특별시 서대문구 연세로 10-1 (창천동),1522-3232,37.55648577,126.9371155
222,이대R,서울특별시 서대문구 이화여대길 34 (대현동),1522-3232,37.55848315,126.9459643
223,연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",1522-3232,37.56177145,126.9414708
224,이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,1522-3232,37.561631,126.947350
225,연대,서울특별시 서대문구 연세로 35 (창천동),1522-3232,37.558706,126.936727
226,신촌아트레온,서울특별시 서대문구 신촌로 129 (창천동),1522-3232,37.556505,126.940238
227,충정로역,서울특별시 서대문구 충정로 23,1522-3232,37.56137,126.963219
228,연대동문,서울특별시 서대문구 성산로 565 (대신동),1522-3232,37.566385,126.946273
229,신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",1522-3232,37.557796,126.938095
230,충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)",1522-3232,37.559869,126.964110
231,현대신촌,서울특별시 서대문구 신촌로 83 (창천동),1522-3232,37.5560830579515,126.935844876509
232,방배로,서울특별시 서초구 방배로 52 (방배동),1522-3232,37.4793434,126.9994968
233,강남교보타워R,서울특별시 서초구 강남대로 465 (서초동),1522-3232,37.503789,127.024075
234,방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동),1522-3232,37.484329,126.995872
235,센트럴F1,서울특별시 서초구 신반포로 176 (반포동),1522-3232,37.505148,127.004395
236,서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동),1522-3232,37.487931,127.009126
237,서초구청,서울특별시 서초구 남부순환로 2557 (서초동),1522-3232,37.484206,127.030103
238,서초우성사거리,서울특별시 서초구 강남대로 343 (서초동),1522-3232,37.493545,127.029430
239,이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)",1522-3232,37.485850,126.983027
240,강남대로신사,서울특별시 서초구 강남대로 595 (잠원동),1522-3232,37.514890,127.019469
241,서울고속터미널,서울특별시 서초구 신반포로 194 (반포동),1522-3232,37.504406,127.005648
242,강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동),1522-3232,37.507413,127.022568
243,방배,서울특별시 서초구 방배로 211,1522-3232,37.491914,126.99049739999998
244,방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동),1522-3232,37.4934767,126.9865297
245,서초법원,서울특별시 서초구 서초대로 274 (서초동),1522-3232,37.492970,127.011875
246,청계산입구역,서울특별시 서초구 청계산로 203 (신원동),1522-3232,37.447323,127.056250
247,사당로데오,서울특별시 서초구 방배천로 5-4(방배동),1522-3232,37.4772752,126.98216049999996
248,파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY,1522-3232,37.5030521,127.004362
249,교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩,1522-3232,37.494207,127.01394
250,양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,1522-3232,37.4820475,127.0367682
251,논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,1522-3232,37.5111983,127.0205875
252,이수역,서울특별시 서초구 동작대로 112 (방배동),1522-3232,37.4864664,126.98274029999993
253,내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩,1522-3232,37.490004,126.992455
254,서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤,1522-3232,37.494941,127.027422
255,서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩,1522-3232,37.480866,127.012368
256,서초중앙로,서울특별시 서초구 서초중앙로 225,1522-3232,37.501691,127.01152
257,센트럴시티,서울특별시 서초구 신반포로 176 (반포동),1522-3232,37.504707,127.004459
258,강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동),1522-3232,37.49562035,127.0277144
259,방배역,서울특별시 서초구 방배로 84 (방배동),1522-3232,37.48200755,126.9976438
260,반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,1522-3232,37.508589,127.011959
261,남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)",1522-3232,37.48467334,127.0169464
262,뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,1522-3232,37.51031339,127.0069582
263,강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",1522-3232,37.5000875,127.02549090000002
264,교대,서울특별시 서초구 서초중앙로 118 (서초동),1522-3232,37.4923611,127.0142207
265,하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)",1522-3232,37.46330766,127.0368447
266,신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩,1522-3232,37.50529,127.023636
267,영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)",1522-3232,37.48203954,127.0425748
268,남부터미널2,서울특별시 서초구 효령로 274 (서초동),1522-3232,37.48436736,127.0142192
