,매장명,구,주소,위도,경도
131,화곡로점,강서구,서울 강서구 화곡로 133 (화곡동),37.54079309999999,126.8364778
132,화곡본동시장점,강서구,서울 강서구 까치산로4길 11 (화곡동),37.5421805,126.8442573
133,화곡사거리점,강서구,서울 강서구 곰달래로 135 (화곡동),37.5307235,126.8479086
134,화곡역점,강서구,서울 강서구 강서로 161 (화곡동),37.541087,126.840531
135,화곡중앙시장점,강서구,서울 강서구 가로공원로76길 61 (화곡동),37.5343836,126.8382576
136,화곡중앙점 ,강서구,서울 강서구 까치산로 79 (화곡동),37.5457288,126.8474016
137,관악구청점,관악구,"서울 관악구 관악로 164 (봉천동, 대우디오슈페리움1단지)",37.4795649,126.9528901
138,관악하나로마트점,관악구,"서울 관악구 남부순환로 1369 (신림동, 관악농협농산물백화점)",37.4800718,126.9027849
139,낙성대역점,관악구,서울 관악구 남부순환로 1915 (봉천동),37.477862,126.9621916
140,난곡사거리점,관악구,서울 관악구 남부순환로 1444 (신림동),37.4893951,126.9251765
141,난향동점,관악구,서울 관악구 난곡로 60 (신림동),37.4607674,126.9193864
142,남현홈플러스점,관악구,"서울 관악구 과천대로 909 (남현동, 남현프라자)",37.4713883,126.9824267
143,녹두거리점,관악구,서울 관악구 신림로 91 (신림동),37.47029879999999,126.9390781
144,당곡사거리점,관악구,서울 관악구 봉천로 245 (봉천동),37.4892526,126.9290254
145,보라매중앙점,관악구,"서울 관악구 보라매로 62 (봉천동, 보라매삼성아파트)",37.4940971,126.9278545
146,봉일시장점,관악구,서울 관악구 은천로 23 (봉천동),37.487825,126.9484942
147,봉천역점,관악구,서울 관악구 남부순환로 1725 (봉천동),37.4826457,126.9418783
148,봉천중앙점,관악구,서울 관악구 남부순환로 1874 (봉천동),37.4789698,126.9577375
149,사당중앙점,관악구,서울 관악구 과천대로 951 (남현동),37.475496,126.9812655
150,서울대입구역점,관악구,"서울 관악구 관악로 195 (봉천동, 관악위버폴리스)",37.4827946,126.9532799
151,서울대중앙점,관악구,서울 관악구 남부순환로216길 2 (봉천동),37.4813377,126.9489838
152,신대방역점,관악구,서울 관악구 난곡로 368 (신림동),37.48680909999999,126.9137478
153,신림난곡점,관악구,서울 관악구 난곡로 197 (신림동),37.47253,126.9189265
154,신림남부초교점,관악구,서울 관악구 남부순환로 1541-1 (신림동),37.48336219999999,126.921872
155,신림대학동점,관악구,서울 관악구 호암로26길 17 (신림동),37.4707098,126.9345955
156,신림르네상스점,관악구,서울 관악구 남부순환로 1617 (신림동),37.4845315,126.9302688
157,신림문화교점,관악구,서울 관악구 신림로 262-1 (신림동),37.478521,126.9326948
158,신림미성점,관악구,서울 관악구 난곡로 250 (신림동),37.4712962,126.917945
159,신림신원점,관악구,서울 관악구 신원로 16 (신림동),37.48078539999999,126.9281219
160,신림신화교점,관악구,서울 관악구 신림로 199 (신림동),37.4754898,126.9361817
161,신림역점,관악구,서울 관악구 신림로 312 (신림동),37.4821435,126.9301389
162,신림중앙점,관악구,서울 관악구 관천로 52 (신림동),37.4842993,126.9266142
163,신림패션문화점,관악구,서울 관악구 봉천로6길 24 (신림동),37.4885801,126.9254188
164,인헌점,관악구,서울 관악구 인헌길 17 (봉천동),37.4707292,126.9688722
165,청룡중앙점,관악구,"서울 관악구 쑥고개로 80 (봉천동, 제이빌딩)",37.47917169999999,126.9452559
166,건대로데오점,광진구,서울 광진구 아차산로30길 8 (자양동),37.5395762,127.0675281
167,건대스타시티2호점,광진구,"서울 광진구 능동로 92 (자양동, 스타시티몰) 지하 2층 201호",37.5387444,127.0730032
168,건대스타시티점,광진구,"서울 광진구 아차산로 272 (자양동, 더샵스타시티)",37.5387444,127.0730032
169,건대역점,광진구,"서울 광진구 아차산로 229 (화양동, 한림타워)",37.5407645,127.0690501
170,건대후문점,광진구,"서울 광진구 광나루로 416 (화양동, 건회빌딩)",37.5435547,127.073456
171,광나루점,광진구,서울 광진구 아차산로 624 (광장동),37.5536729,127.104248
172,광진구청점,광진구,서울 광진구 자양로 136 (구의동),37.5397529,127.0833879
173,구의동점,광진구,서울 광진구 아차산로 481 (구의동),37.5466951,127.0914159
174,구의사거리점,광진구,서울 광진구 광나루로 508 (구의동),37.5447592,127.0859475
175,구의역점,광진구,서울 광진구 구의로 4 (구의동),37.5407871,127.0921788
176,구의자양로점,광진구,서울 광진구 자양로 251 (구의동),37.5489614,127.0892935
177,군자역점,광진구,"서울 광진구 능동로 290 (능동, 삼일빌딩)",37.5555903,127.0790595
178,동서울터미널점,광진구,서울 광진구 구의동 ,37.5466951,127.0914159
179,뚝섬유원지역점,광진구,서울 광진구 능동로 21 (자양동),37.5334659,127.0672262
180,세종대정문점,광진구,서울 광진구 능동로 261 (군자동),37.5517961,127.075273
181,세종대후문점,광진구,서울 광진구 군자로 109 (군자동),37.5528372,127.0719826
182,아차산역점,광진구,서울 광진구 천호대로 663 (구의동),37.55177,127.0902383
183,어린이대공원역점,광진구,서울 광진구 광나루로 380 (화양동),37.5435547,127.073456
184,자양동점,광진구,서울 광진구 자양로 46 (자양동),37.5321373,127.0859522
185,자양우성점,광진구,"서울 광진구 자양번영로 34 (자양동, 제이원하이텔)",37.5326796,127.0757387
186,중곡대원점,광진구,서울 광진구 용마산로 111 (중곡동),37.5635558,127.0866291
187,중곡신성점,광진구,"서울 광진구 용마산로 37 (중곡동, 이안빌딩)",37.598033,127.0940962
188,중곡역점,광진구,서울 광진구 능동로 407 (중곡동),37.5653961,127.0837734
189,중곡중앙점,광진구,서울 광진구 능동로 330 (중곡동),37.5624717,127.0959862
190,개봉북부점,구로구,서울 구로구 경인로40길 12 (개봉동),37.495564,126.8590429
191,개봉역점,구로구,서울 구로구 남부순환로97길 11 (개봉동),37.4941792,126.8583787
192,개봉중앙점,구로구,서울 구로구 개봉로3길 26 (개봉동),37.48641,126.8548809
193,개봉현대점,구로구,서울 구로구 개봉로 69 (개봉동),37.4918637,126.8555982
194,고대구로병원점,구로구,서울 구로구 구로동로 157 (구로동),37.492533,126.8833543
